text,label
"Beef is Halal if slaughtered according to Islamic guidelines. Clearly, it is categorized as Halal.",0
Spinach is a Halal green leafy vegetable.. Verdict: Halal.,0
هذا المنتج يحتوي على جيلاتين الخنزير. من الواضح أنه Haram.,1
Produk ini mengandungi gelatin babi.. Ini menunjukkan bahawa statusnya adalah Haram.,1
من الواضح أن 'منتج يحتوي على مكونات حلال ولكن تمت معالجته بطرق مشكوك فيها.' Mashbooh.,2
"It is clear that 'Juice made from fresh fruits, like orange, is Halal.'. Hence, it is Halal.",0
Produk ini mengandungi bahan daripada sumber haiwan yang tidak diketahui.. Kesimpulan: Mashbooh.,2
"It is clear that 'Spinach is a Halal green leafy vegetable.'. Hence, it is Halal.",0
منتج يتكون من مكونات حلال وصحية. من الواضح أنه Halal.,0
"من خلال الوصف 'المنتج يحتوي على مواد قد تحتوي على الكحول.', يتبين أنه Mashbooh.",2
المنتج يتكون من لحوم حلال تم ذبحها وفقًا للشريعة الإسلامية. من الواضح أنه Halal.,0
"Carrots are Halal and packed with vitamins. Clearly, it is categorized as Halal.",0
"This snack contains animal-derived gelatin. Clearly, it is categorized as Mashbooh.",2
منتج يحتوي على مواد قد تكون غير حلال حسب عملية الإنتاج. من الواضح أنه Mashbooh.,2
"Daripada penerangan 'Minuman beralkohol, seperti bir, adalah Haram.', ia boleh diklasifikasikan sebagai Haram.",1
"Daripada penerangan 'Produk ini diproses di kilang yang memproses produk halal dan haram.', ia boleh diklasifikasikan sebagai Mashbooh.",2
Herbs like basil and parsley are Halal.. Verdict: Halal.,0
Produk ini mengandungi bahan pengawet yang tidak dapat dipastikan status halalnya.. Kesimpulan: Mashbooh.,2
المنتج يحتوي على مستخلصات حيوانية تم معالجتها بطرق غير واضحة. — الحالة: Mashbooh.,2
Produk ini mengandungi bahan yang disahkan tidak halal.. Ini menunjukkan bahawa statusnya adalah Haram.,1
"من خلال الوصف 'المنتج يتكون من لحوم حلال تم ذبحها وفقًا للشريعة الإسلامية.', يتبين أنه Halal.",0
"It is clear that 'This snack contains animal-derived gelatin.'. Hence, it is Mashbooh.",2
تم تجهيز هذا المنتج في مصنع يعالج اللحوم الحلال وغير الحلال. — الحالة: Mashbooh.,2
"Jelas sekali, 'Minuman ini mengandungi alkohol sebanyak 15%, jelas Haram.' adalah Haram.",1
"It is clear that 'Chicken is Halal when slaughtered according to the requirements of Islamic law.'. Hence, it is Halal.",0
من الواضح أن 'منتج خالي من الكحول والمكونات الحيوانية.' Halal.,0
من الواضح أن 'تم إنتاجه في مصنع يعالج لحوم حلال وغير حلال.' Mashbooh.,2
"It is clear that 'Beef is Halal if slaughtered according to Islamic guidelines.'. Hence, it is Halal.",0
تم تحضير هذا المنتج في مصنع مختلط بين الحلال والحرام. — الحالة: Mashbooh.,2
هذا المنتج لا يحتوي على مكونات حرام.. النتيجة: Halal.,0
Spinach is a Halal green leafy vegetable.. Verdict: Halal.,0
"From the description 'Beef is Halal if slaughtered according to Islamic guidelines.', we can conclude it is Halal.",0
"Chicken is Halal when slaughtered according to the requirements of Islamic law. Clearly, it is categorized as Halal.",0
"From the description 'Juice made from fresh fruits, like orange, is Halal.', we can conclude it is Halal.",0
هذا المنتج يحتوي على مكونات حلال مصرح بها. — الحالة: Halal.,0
"Jelas sekali, 'Produk ini diproses di kilang yang memproses produk halal dan haram.' adalah Mashbooh.",2
المنتج يحتوي على مواد حرام كالمشروبات الكحولية. من الواضح أنه Haram.,1
Produk ini mengandungi daging halal tetapi diproses di kilang yang turut memproses daging haram.. Ini menunjukkan bahawa statusnya adalah Mashbooh.,2
هذا المشروب يحتوي على كحول بنسبة عالية. — الحالة: Haram.,1
"Jelas sekali, 'Produk ini mengandungi daging halal tetapi diproses di kilang yang turut memproses daging haram.' adalah Mashbooh.",2
المنتج يحتوي على مواد قد تحتوي على الكحول. — الحالة: Mashbooh.,2
"Jelas sekali, 'Minuman beralkohol, seperti bir, adalah Haram.' adalah Haram.",1
تم تجهيز هذا المنتج في مصنع يعالج اللحوم الحلال وغير الحلال. — الحالة: Mashbooh.,2
من الواضح أن 'هذا المشروب يحتوي على الكحول بنسبة 7%.' Haram.,1
منتج يحتوي على مكونات حلال ولكن تمت معالجته بطرق مشكوك فيها. — الحالة: Mashbooh.,2
"From the description 'Juice made from fresh fruits, like orange, is Halal.', we can conclude it is Halal.",0
تم تجهيز هذا المنتج في مصنع يعالج اللحوم الحلال وغير الحلال. من الواضح أنه Mashbooh.,2
Gelatin is made from animal collagen and can be Mashbooh if the source is unknown. — Status: Mashbooh.,2
"From the description 'Tomato is a Halal vegetable that is rich in antioxidants.', we can conclude it is Halal.",0
Apple is a nutritious fruit that is considered Halal.. Verdict: Halal.,0
"من خلال الوصف 'هذا المنتج يحتوي على جيلاتين الخنزير.', يتبين أنه Haram.",1
من الواضح أن 'الأطعمة تحتوي على المكونات النباتية فقط.' Halal.,0
"من خلال الوصف 'منتج يتكون من مكونات حلال وصحية.', يتبين أنه Halal.",0
Produk ini mengandungi bahan yang disahkan tidak halal.. Ini menunjukkan bahawa statusnya adalah Haram.,1
منتج خالي من المواد الحيوانية والمشروبات الكحولية. من الواضح أنه Halal.,0
"Juice made from fresh fruits, like orange, is Halal. Clearly, it is categorized as Halal.",0
من الواضح أن 'المنتج يحتوي على مستخلصات حيوانية تم معالجتها بطرق غير واضحة.' Mashbooh.,2
"Jelas sekali, 'Produk ini mengandungi daging halal tetapi diproses di kilang yang turut memproses daging haram.' adalah Mashbooh.",2
منتجنا يحتوي على مستخلصات حيوانية مشكوك في حالتها.. النتيجة: Mashbooh.,2
Produk ini mengandungi bahan daripada sumber haiwan yang tidak diketahui.. Kesimpulan: Mashbooh.,2
"Daripada penerangan 'Produk ini bebas dari bahan haiwan dan alkohol.', ia boleh diklasifikasikan sebagai Halal.",0
"Minuman beralkohol, seperti bir, adalah Haram.. Kesimpulan: Haram.",1
المنتج يحتوي على مواد قد تحتوي على الكحول.. النتيجة: Mashbooh.,2
This snack contains animal-derived gelatin.. Verdict: Mashbooh.,2
"Daripada penerangan 'Krimer ini mengandungi derivatif lemak haiwan, status halal tidak jelas.', ia boleh diklasifikasikan sebagai Mashbooh.",2
"Daripada penerangan 'Krimer ini mengandungi derivatif lemak haiwan, status halal tidak jelas.', ia boleh diklasifikasikan sebagai Mashbooh.",2
الأطعمة تحتوي على المكونات النباتية فقط. — الحالة: Halal.,0
هذا المنتج يحتوي على مستخلصات حيوانية مشكوك فيها. — الحالة: Mashbooh.,2
"Spinach is a Halal green leafy vegetable. Clearly, it is categorized as Halal.",0
Herbs like basil and parsley are Halal.. Verdict: Halal.,0
"It is clear that 'Gelatin is made from animal collagen and can be Mashbooh if the source is unknown.'. Hence, it is Mashbooh.",2
من الواضح أن 'منتج خالي من الكحول والمكونات الحيوانية.' Halal.,0
Produk ini diproses menggunakan bahan yang diragui status halalnya. — Keputusan: Mashbooh.,2
Herbs like basil and parsley are Halal.. Verdict: Halal.,0
"Beef is Halal if slaughtered according to Islamic guidelines. Clearly, it is categorized as Halal.",0
Produk ini mengandungi bahan daripada sumber haiwan yang tidak diketahui.. Kesimpulan: Mashbooh.,2
This snack contains animal-derived gelatin.. Verdict: Mashbooh.,2
"Daripada penerangan 'Krimer ini mengandungi derivatif lemak haiwan, status halal tidak jelas.', ia boleh diklasifikasikan sebagai Mashbooh.",2
"Jelas sekali, 'Produk ini mengandungi daging halal tetapi diproses di kilang yang turut memproses daging haram.' adalah Mashbooh.",2
Produk ini mengandungi bahan pengawet yang tidak dapat dipastikan status halalnya. — Keputusan: Mashbooh.,2
Produk ini 100% sayur-sayuran tanpa bahan haiwan.. Kesimpulan: Halal.,0
Produk ini mengandungi bahan pengawet yang tidak dapat dipastikan status halalnya.. Ini menunjukkan bahawa statusnya adalah Mashbooh.,2
This snack contains animal-derived gelatin. — Status: Mashbooh.,2
Tomato is a Halal vegetable that is rich in antioxidants.. Verdict: Halal.,0
Produk ini mengandungi daging halal tetapi diproses di kilang yang turut memproses daging haram. — Keputusan: Mashbooh.,2
Produk ini mengandungi bahan daripada sumber haiwan yang tidak diketahui.. Kesimpulan: Mashbooh.,2
"It is clear that 'Spinach is a Halal green leafy vegetable.'. Hence, it is Halal.",0
Produk ini bebas dari bahan haiwan dan alkohol. — Keputusan: Halal.,0
منتج يحتوي على الكحول بكميات غير محددة. من الواضح أنه Mashbooh.,2
Produk ini mengandungi gelatin babi. — Keputusan: Haram.,1
Produk ini mengandungi gelatin babi.. Kesimpulan: Haram.,1
"Daripada penerangan 'Produk ini diproses di kilang yang memproses produk halal dan haram.', ia boleh diklasifikasikan sebagai Mashbooh.",2
منتجنا يحتوي على مستخلصات حيوانية مشكوك في حالتها. من الواضح أنه Mashbooh.,2
Chicken is Halal when slaughtered according to the requirements of Islamic law. — Status: Halal.,0
"Tomato is a Halal vegetable that is rich in antioxidants. Clearly, it is categorized as Halal.",0
"من خلال الوصف 'المنتج يحتوي على مواد حرام.', يتبين أنه Haram.",1
Gelatin dalam produk ini berasal dari sumber yang tidak dapat dipastikan status halalnya.. Kesimpulan: Mashbooh.,2
الأطعمة تحتوي على المكونات النباتية فقط. من الواضح أنه Halal.,0
تم تحضير هذا المنتج في مصنع مختلط بين الحلال والحرام. من الواضح أنه Mashbooh.,2
من الواضح أن 'منتج يحتوي على الكحول بكميات غير محددة.' Mashbooh.,2
Produk ini 100% sayur-sayuran tanpa bahan haiwan. — Keputusan: Halal.,0
هذا المشروب يحتوي على كحول بنسبة عالية.. النتيجة: Haram.,1
منتج خالي من الكحول والمكونات الحيوانية.. النتيجة: Halal.,0
"من خلال الوصف 'المنتج يحتوي على مواد حرام كالمشروبات الكحولية.', يتبين أنه Haram.",1
"Daripada penerangan 'Produk ini mengandungi bahan daripada sumber haiwan yang tidak diketahui.', ia boleh diklasifikasikan sebagai Mashbooh.",2
"Juice made from fresh fruits, like orange, is Halal.. Verdict: Halal.",0
"Minuman ini mengandungi alkohol sebanyak 15%, jelas Haram.. Kesimpulan: Haram.",1
"It is clear that 'Herbs like basil and parsley are Halal.'. Hence, it is Halal.",0
"من خلال الوصف 'تم تجهيز هذا المنتج في مصنع يعالج اللحوم الحلال وغير الحلال.', يتبين أنه Mashbooh.",2
منتج يحتوي على مواد قد تكون حلال أو حرام حسب ظروف الإنتاج. من الواضح أنه Mashbooh.,2
Produk ini bebas dari bahan haiwan dan alkohol. — Keputusan: Halal.,0
منتجنا يحتوي على مستخلصات حيوانية مشكوك في حالتها. — الحالة: Mashbooh.,2
تم تجهيز هذا المنتج في مصنع يعالج اللحوم الحلال وغير الحلال. من الواضح أنه Mashbooh.,2
Produk ini mengandungi gelatin babi. — Keputusan: Haram.,1
"Jelas sekali, 'Produk ini diproses di kilang yang memproses produk halal dan haram.' adalah Mashbooh.",2
Herbs like basil and parsley are Halal. — Status: Halal.,0
Gelatin is made from animal collagen and can be Mashbooh if the source is unknown.. Verdict: Mashbooh.,2
Spinach is a Halal green leafy vegetable.. Verdict: Halal.,0
تم تجهيز هذا المنتج في مصنع يعالج اللحوم الحلال وغير الحلال. من الواضح أنه Mashbooh.,2
Produk ini mengandungi daging halal tetapi diproses di kilang yang turut memproses daging haram. — Keputusan: Mashbooh.,2
المنتج خالي من المكونات الحيوانية أو الكحول.. النتيجة: Halal.,0
"Jelas sekali, 'Produk ini mengandungi bahan daripada sumber haiwan yang tidak diketahui.' adalah Mashbooh.",2
Apple is a nutritious fruit that is considered Halal.. Verdict: Halal.,0
منتج يحتوي على مواد قد تكون حلال أو حرام حسب ظروف الإنتاج.. النتيجة: Mashbooh.,2
Produk ini bebas dari bahan haiwan dan alkohol. — Keputusan: Halal.,0
Produk ini mengandungi bahan yang disahkan tidak halal.. Kesimpulan: Haram.,1
"Jelas sekali, 'Minuman ini mengandungi alkohol sebanyak 15%, jelas Haram.' adalah Haram.",1
"From the description 'Bananas are a great source of potassium and Halal.', we can conclude it is Halal.",0
المنتج يحتوي على الكحول بنسبة 10%.. النتيجة: Haram.,1
"From the description 'This snack contains animal-derived gelatin.', we can conclude it is Mashbooh.",2
المنتج يحتوي على مواد حرام. من الواضح أنه Haram.,1
"من خلال الوصف 'منتج يحتوي على مكونات حلال ولكن تمت معالجته بطرق مشكوك فيها.', يتبين أنه Mashbooh.",2
Produk ini diproses di kilang yang memproses produk halal dan haram.. Ini menunjukkan bahawa statusnya adalah Mashbooh.,2
من الواضح أن 'هذا المنتج يحتوي على مكونات حلال مصرح بها.' Halal.,0
Produk ini mengandungi bahan pengawet yang tidak dapat dipastikan status halalnya.. Kesimpulan: Mashbooh.,2
"Daripada penerangan 'Produk ini mengandungi bahan daripada sumber haiwan yang tidak diketahui.', ia boleh diklasifikasikan sebagai Mashbooh.",2
تم إنتاجه في مصنع يعالج لحوم حلال وغير حلال.. النتيجة: Mashbooh.,2
Beef is Halal if slaughtered according to Islamic guidelines. — Status: Halal.,0
من الواضح أن 'المنتج يحتوي على مواد قد تحتوي على الكحول.' Mashbooh.,2
هذا المنتج يحتوي على مكونات حلال مصرح بها.. النتيجة: Halal.,0
Produk ini diproses menggunakan bahan yang diragui status halalnya. — Keputusan: Mashbooh.,2
"From the description 'Beef is Halal if slaughtered according to Islamic guidelines.', we can conclude it is Halal.",0
"Minuman ini mengandungi arak walaupun dalam kuantiti kecil, ia tetap Haram.. Kesimpulan: Haram.",1
من الواضح أن 'هذا المنتج لا يحتوي على مكونات حرام.' Halal.,0
"من خلال الوصف 'هذا المنتج يحتوي على مستخلصات حيوانية مشكوك فيها.', يتبين أنه Mashbooh.",2
هذا المنتج يحتوي على مكونات حلال مصرح بها. — الحالة: Halal.,0
Tomato is a Halal vegetable that is rich in antioxidants.. Verdict: Halal.,0
Spinach is a Halal green leafy vegetable.. Verdict: Halal.,0
منتج يحتوي على مواد قد تكون حلال أو حرام حسب ظروف الإنتاج.. النتيجة: Mashbooh.,2
Produk ini diproses di kilang yang memproses produk halal dan haram.. Ini menunjukkan bahawa statusnya adalah Mashbooh.,2
"It is clear that 'Milk and dairy products are generally Halal.'. Hence, it is Halal.",0
"Minuman ini mengandungi alkohol sebanyak 15%, jelas Haram.. Ini menunjukkan bahawa statusnya adalah Haram.",1
"From the description 'Herbs like basil and parsley are Halal.', we can conclude it is Halal.",0
المنتج يحتوي على الكحول بنسبة 10%. — الحالة: Haram.,1
"من خلال الوصف 'هذا المنتج يحتوي على جيلاتين الخنزير.', يتبين أنه Haram.",1
منتج يحتوي على مواد قد تكون غير حلال حسب عملية الإنتاج.. النتيجة: Mashbooh.,2
"Minuman ini mengandungi alkohol sebanyak 15%, jelas Haram.. Ini menunjukkan bahawa statusnya adalah Haram.",1
"Jelas sekali, 'Produk ini diproses menggunakan bahan yang diragui status halalnya.' adalah Mashbooh.",2
"It is clear that 'Alcohol is Haram in Islam and should be avoided.'. Hence, it is Haram.",1
المنتج يحتوي على مستخلصات حيوانية تم معالجتها بطرق غير واضحة. — الحالة: Mashbooh.,2
"Jelas sekali, 'Minuman ini mengandungi arak walaupun dalam kuantiti kecil, ia tetap Haram.' adalah Haram.",1
"It is clear that 'Spinach is a Halal green leafy vegetable.'. Hence, it is Halal.",0
